age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,y
32,4,0,6,0,0,0,0,3,3,131,5,1,no
37,10,3,6,0,0,0,0,4,3,100,1,1,no
55,5,0,5,1,2,0,0,3,2,131,2,1,yes
44,2,1,0,1,0,0,1,4,3,48,2,1,no
28,0,2,3,0,0,0,0,5,0,144,2,1,no
45,10,1,2,0,0,0,0,1,0,126,3,1,no
55,0,0,6,0,0,0,0,7,0,189,1,1,yes
46,0,1,3,0,0,0,1,4,3,107,3,1,no
53,1,2,2,0,2,0,0,3,4,355,1,1,no
30,0,2,6,0,0,0,0,1,1,135,1,1,no
55,4,1,7,0,2,0,0,9,0,156,2,0,no
39,1,1,2,1,0,0,0,3,3,181,1,1,no
55,1,1,2,0,2,0,0,0,2,66,1,0,no
55,0,0,6,0,0,0,1,7,4,36,1,1,no
46,4,1,2,0,0,0,1,6,0,43,1,1,no
35,1,1,2,1,0,0,1,6,0,288,3,1,yes
43,6,1,6,0,2,0,0,5,1,264,2,2,no
37,6,1,3,0,0,0,1,6,0,554,5,1,no
30,9,1,5,0,2,2,1,4,1,82,1,1,no
55,5,1,3,0,0,0,0,7,1,554,2,0,yes
38,10,2,3,0,2,0,1,6,3,554,3,1,no
55,5,1,7,0,0,2,0,1,3,554,1,2,no
34,1,1,2,0,2,0,1,6,2,399,5,1,no
30,9,2,5,0,0,2,1,3,2,156,5,1,no
55,4,0,6,0,2,0,0,0,1,232,3,1,yes
34,1,1,0,0,2,0,1,6,1,102,1,1,no
33,9,0,5,0,2,0,1,6,1,110,2,1,no
44,4,1,2,0,0,0,0,6,3,296,1,1,no
43,7,1,0,0,2,0,0,7,1,92,1,1,no
34,0,1,6,0,2,0,0,6,1,304,1,1,no
41,0,1,3,0,2,0,0,7,1,353,1,1,no
48,1,1,2,1,0,0,1,4,0,81,5,1,no
41,7,1,2,0,2,2,1,6,3,296,1,1,no
28,1,2,1,1,2,0,0,6,3,387,3,1,no
36,7,1,3,0,2,0,1,6,2,81,1,1,no
30,1,1,2,0,2,0,1,6,1,123,5,1,no
43,2,1,6,0,0,0,1,6,2,177,2,1,no
50,1,1,0,1,0,0,0,1,4,157,2,1,no
45,9,0,5,1,2,0,0,1,0,36,5,1,no
34,9,1,3,0,2,2,0,7,2,116,1,1,no
39,9,1,5,0,1,1,0,3,4,68,3,1,no
33,1,1,1,0,0,0,1,3,4,292,1,1,no
34,1,1,2,0,0,0,1,4,1,157,5,1,yes
35,4,1,6,0,0,0,0,1,3,253,1,1,no
43,1,1,0,0,2,0,1,4,4,36,4,1,no
41,9,1,5,0,0,2,1,6,0,36,2,1,no
52,0,0,1,0,2,0,1,4,4,219,1,1,yes
46,0,1,3,1,2,2,1,6,1,358,3,1,no
53,2,0,6,0,0,0,1,7,1,247,1,1,no
51,6,1,2,0,2,0,1,6,2,162,2,1,no
37,6,1,2,0,0,0,1,6,0,327,1,1,no
